[12603.265s][info][gc,phases   ] GC(2446) Concurrent Process Non-Strong References 16900.371ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 1da35ff5-b497-1510-b4ef-4ce9d3ec0c61: 15180651: 428) 105.427ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 6da98565-bdef-2a38-3252-09d5836c635d: 12987287: 418) 164.855ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 97a15275-7adf-86d2-20b2-67e84e560ed8: 15250825: bcde1b1d-c513-4ea4-935c-22c33c3789e8) 118.787ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 1b98afd9-0815-f058-303b-7af7af4ab8c8: 13953795: 5) 105.451ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 2229807a-4a5d-8be7-b7a3-00fd1bbfcfab: 15599509: 65) 105.243ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 6caa2bba-7f7f-ca9e-8867-60caa92edc97: 18023504: 1140) 104.664ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 0e67d0da-d6d8-03d0-9531-f07f3a8fcc9f: 15441390: 37) 104.696ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 736dbb6b-64e7-a5e5-d522-d94271526ce9: 17997352: 197) 104.699ms
[12603.280s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 104.704ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 791dfe2e-dfe8-0c22-c66b-5d26b9fdee5d: 17129497: 11) 104.115ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: 8827ebd2-8440-0f61-10d4-982bab4b958a: 18063346: 184) 104.142ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 85ed4fc7-872a-8f26-6bce-c66dd6e78814: 17084684: 28) 203.699ms
[12603.280s][info][gc          ] Allocation Stall (requestHandler: f753463f-037c-7e94-3237-03fa3d905ba5: 14010839: 14) 104.921ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 03e0fc80-bec6-fca3-110a-2d85833df0b9: 17708797: 35) 166.448ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 33) 104.245ms
[12603.278s][info][gc          ] Allocation Stall (qtp579590740-7762) 115.156ms
[12603.281s][info][gc          ] Allocation Stall (qtp579590740-4349) 103.892ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 1d8b6cdb-d7ea-99a1-49f2-563573126138: 15802047: fd02baf0-bb7c-41ee-861f-04a66f69ba76) 114.457ms
